mayo_bench_MAYO_1
KeyGen cycles, 55, 493, 1595, 16, 51, 54847, 24059, 205, 258
KeyGen cycles, 39, 513, 1593, 18, 49, 54923, 23915, 203, 257
KeyGen cycles, 41, 511, 1732, 17, 49, 54957, 23938, 197, 252
KeyGen cycles, 43, 507, 1601, 15, 51, 54867, 24184, 224, 252
KeyGen cycles, 53, 493, 1890, 15, 51, 55049, 24587, 203, 251
KeyGen cycles, 41, 510, 1611, 16, 50, 54932, 25040, 226, 254
KeyGen cycles, 41, 610, 1638, 18, 49, 55021, 24427, 203, 254
KeyGen cycles, 45, 583, 1708, 17, 49, 55010, 24525, 203, 255
KeyGen cycles, 54, 640, 1572, 15, 51, 55037, 24014, 236, 253
KeyGen cycles, 41, 540, 1630, 17, 49, 54881, 25091, 199, 251
KeyGen cycles, 50, 675, 2106, 16, 58, 55099, 25173, 279, 259
KeyGen cycles, 43, 659, 1661, 16, 49, 54947, 23957, 195, 256
KeyGen cycles, 51, 503, 1720, 18, 48, 54909, 23946, 224, 253
KeyGen cycles, 43, 546, 1579, 16, 51, 55021, 23885, 215, 255
KeyGen cycles, 43, 503, 1599, 17, 51, 55031, 23919, 197, 253
KeyGen cycles, 41, 499, 1603, 16, 51, 78477, 23944, 256, 267
KeyGen cycles, 54, 603, 1663, 18, 185, 71741, 24726, 232, 257
KeyGen cycles, 43, 515, 1770, 16, 51, 54873, 24232, 199, 256
KeyGen cycles, 41, 667, 1892, 15, 51, 55452, 73913, 197, 269
KeyGen cycles, 41, 515, 1786, 16, 50, 54918, 36927, 197, 256
KeyGen cycles, 53, 507, 1868, 17, 49, 55072, 25250, 227, 255
KeyGen cycles, 43, 532, 1817, 16, 49, 54949, 24634, 195, 254
KeyGen cycles, 43, 682, 1675, 16, 49, 67708, 28136, 236, 271
KeyGen cycles, 43, 891, 3658, 16, 50, 55895, 29905, 197, 256
KeyGen cycles, 50, 1081, 1883, 16, 51, 67663, 39832, 1751, 266
KeyGen cycles, 41, 1353, 3641, 17, 51, 66185, 55076, 559, 377
KeyGen cycles, 51, 1404, 4890, 18, 68, 129289, 101207, 4902, 938
KeyGen cycles, 45, 4750, 5724, 15, 145, 169952, 104565, 3100, 2007
KeyGen cycles, 55, 1322, 8596, 17, 1192, 111908, 90160, 580, 939
KeyGen cycles, 43, 3779, 7971, 18, 1291, 159818, 80264, 392, 977
KeyGen cycles, 41, 8962, 6361, 16, 49, 106002, 73265, 624, 295
KeyGen cycles, 717, 2596, 7560, 16, 1441, 130406, 139228, 1431, 1681
KeyGen cycles, 47, 3904, 12353, 15, 201, 112092, 44376, 359, 1580
KeyGen cycles, 53, 2209, 4000, 17, 2231, 126306, 73064, 938, 839
KeyGen cycles, 152, 8426, 10731, 16, 49, 132003, 92198, 6425, 1073
KeyGen cycles, 56, 4113, 7927, 17, 279, 116957, 117133, 786, 1491
KeyGen cycles, 54, 2956, 12422, 15, 747, 112379, 97233, 2234, 310
KeyGen cycles, 43, 1229, 7113, 16, 49, 70217, 39078, 236, 396
KeyGen cycles, 39, 639, 1726, 18, 48, 69048, 31007, 240, 532
KeyGen cycles, 1921, 3627, 2026, 15, 49, 64171, 51714, 195, 249
KeyGen cycles, 41, 998, 2085, 18, 48, 60895, 36451, 215, 281
KeyGen cycles, 41, 952, 3627, 17, 51, 85418, 49385, 227, 928
KeyGen cycles, 43, 1623, 6897, 15, 51, 95566, 55183, 1983, 2410
KeyGen cycles, 55, 2695, 2921, 16, 770, 88072, 40433, 222, 1652
KeyGen cycles, 41, 1804, 5497, 16, 204, 86990, 39903, 230, 741
KeyGen cycles, 41, 1597, 3943, 15, 49, 80685, 34431, 199, 252
KeyGen cycles, 41, 766, 6981, 18, 142, 185127, 47136, 1969, 630
KeyGen cycles, 43, 2979, 9479, 16, 49, 68072, 47793, 493, 1026
KeyGen cycles, 43, 756, 5669, 16, 50, 131575, 45889, 257, 277
KeyGen cycles, 43, 560, 3609, 18, 88, 75439, 33591, 216, 390
KeyGen cycles, 43, 655, 1731, 18, 53, 68922, 32265, 242, 271
KeyGen cycles, 47, 661, 1710, 18, 51, 71136, 32912, 208, 359
KeyGen cycles, 43, 1704, 1925, 19, 1258, 63794, 37942, 208, 275
KeyGen cycles, 45, 1248, 1694, 16, 52, 65232, 33011, 234, 273
KeyGen cycles, 45, 899, 2494, 17, 258, 63926, 30167, 207, 267
KeyGen cycles, 47, 565, 51490, 16, 50, 71162, 37996, 226, 788
KeyGen cycles, 55, 1837, 2158, 18, 421, 69785, 39729, 250, 1548
KeyGen cycles, 52, 808, 2620, 16, 49, 66122, 87731, 868, 417
KeyGen cycles, 45, 1145, 4639, 17, 178, 66411, 39174, 456, 269
KeyGen cycles, 45, 1100, 2379, 18, 52, 75372, 37194, 708, 384
KeyGen cycles, 55, 1913, 3524, 19, 53, 74706, 47717, 212, 1100
KeyGen cycles, 58, 1582, 1708, 18, 54, 75471, 45419, 1874, 408
KeyGen cycles, 45, 581, 3183, 17, 1262, 103785, 39735, 210, 568
KeyGen cycles, 47, 1031, 3300, 19, 51, 74465, 35671, 257, 273
KeyGen cycles, 57, 1649, 2418, 18, 55, 78054, 41254, 533, 2595
KeyGen cycles, 195, 2098, 2313, 19, 55, 68378, 30561, 224, 1849
KeyGen cycles, 56, 1751, 2820, 16, 54, 128531, 31666, 661, 384
KeyGen cycles, 43, 1254, 4570, 16, 53, 63626, 81695, 271, 416
KeyGen cycles, 46, 1044, 4625, 18, 199, 61204, 56055, 306, 304
KeyGen cycles, 44, 907, 2617, 18, 58, 65425, 95481, 330, 472
KeyGen cycles, 61, 914, 2350, 16, 54, 62377, 29837, 294, 312
KeyGen cycles, 43, 671, 2744, 19, 59, 65204, 31847, 367, 357
KeyGen cycles, 78, 1438, 2457, 19, 70, 68878, 33739, 328, 557
KeyGen cycles, 53, 788, 2720, 17, 59, 67942, 29733, 281, 357
KeyGen cycles, 47, 1308, 2502, 16, 62, 64489, 32970, 343, 392
KeyGen cycles, 55, 874, 3030, 17, 69, 69808, 32013, 425, 606
KeyGen cycles, 127, 1158, 3383, 18, 93, 78131, 26237, 334, 290
KeyGen cycles, 56, 792, 1835, 16, 48, 75653, 30661, 303, 333
KeyGen cycles, 55, 825, 2246, 16, 50, 78190, 36913, 369, 286
